iter	RMSE
0	0.466343388
1	0.4467709861
2	0.429749001
3	0.4123202343
4	0.399906595
5	0.3865989476
6	0.3745133764
7	0.3640748993
8	0.354445368
9	0.3474619132
10	0.3392681815
11	0.3319250705
12	0.3256721671
13	0.3194443928
14	0.3145379901
15	0.3095447266
16	0.3043473659
17	0.300033703
18	0.2957801974
19	0.291936238
20	0.2883026209
21	0.2850729966
22	0.281244896
23	0.2786952051
24	0.2757031744
25	0.2732053934
26	0.2707863798
27	0.2679407455
28	0.2656364187
29	0.2637873921
30	0.2618235665
31	0.2597201241
32	0.2570796866
33	0.2547242683
34	0.252926882
35	0.2508236344
36	0.2493300132
37	0.2482271174
38	0.2464583065
39	0.2450862907
40	0.243560556
41	0.2421871342
42	0.2410598627
43	0.2400821264
44	0.2392906701
45	0.2374458314
46	0.2359677556
47	0.2349484453
48	0.234120463
49	0.2328402682
50	0.231391987
51	0.2294608327
52	0.2281011972
53	0.2268210904
54	0.2255686021
55	0.224207902
56	0.2237799913
57	0.2225817853
58	0.2215641521
59	0.2204226992
60	0.2192077208
61	0.2182423953
62	0.2176782512
63	0.2165777456
64	0.2156668177
65	0.2150121972
66	0.214081229
67	0.2131463632
68	0.2122085221
69	0.2115476732
70	0.2105537638
71	0.209681949
72	0.2091095554
73	0.2087085177
74	0.208206793
75	0.2073907297
76	0.2069706069
77	0.2065408373
78	0.2058537978
79	0.2053932269
80	0.2044906129
81	0.2038055197
82	0.2027451445
83	0.2021910675
84	0.2019004356
85	0.2004976305
86	0.1995166603
87	0.1988888366
88	0.1981200857
89	0.1971541331
90	0.1961829873
91	0.1953618705
92	0.1950255829
93	0.1940283388
94	0.19332295
95	0.192664941
96	0.1918124721
97	0.1914549128
98	0.1905617285
99	0.1901106588
