tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-894,Bogota,Clay,32,I,20230403,299,220548,,,Peyton Stearns,R,,USA,21.4,215872,4,,Kamilla Rakhimova,R,,RUS,21.5,3-6 6-2 6-2,3,SF,134,5,2,86,62,36,11,13,6,11,6,9,98,51,30,16,12,4,11,116,563,90,712
2023-894,Bogota,Clay,32,I,20230403,298,213583,2,,Tatjana Maria,R,172,GER,35.6,215936,,,Francesca Jones,R,,GBR,22.5,6-3 6-4,3,SF,95,2,1,61,33,24,14,10,2,4,2,10,61,29,20,10,9,3,7,66,851,817,26
2023-894,Bogota,Clay,32,I,20230403,297,220548,,,Peyton Stearns,R,,USA,21.4,214461,,,Tamara Zidansek,R,168,SLO,25.2,6-3 2-6 6-2,3,QF,124,0,5,85,66,36,7,13,2,8,0,2,88,69,36,7,12,6,13,116,563,110,595
2023-894,Bogota,Clay,32,I,20230403,296,215872,4,,Kamilla Rakhimova,R,,RUS,21.5,204427,7,,Sara Sorribes Tormo,R,176,ESP,26.4,6-4 7-5,3,QF,134,2,7,61,26,15,14,11,0,6,0,12,94,57,25,15,11,12,20,90,712,106,607
2023-894,Bogota,Clay,32,I,20230403,295,215936,,,Francesca Jones,R,,GBR,22.5,206007,6,,Laura Pigossi,R,164,BRA,28.6,6-4 6-2,3,QF,93,0,4,57,26,19,13,9,1,4,4,4,54,37,18,5,9,3,9,817,26,101,662
2023-894,Bogota,Clay,32,I,20230403,294,213583,2,,Tatjana Maria,R,172,GER,35.6,215572,,Q,Nuria Brancaccio,R,,ITA,22.7,6-3 6-2,3,QF,62,5,2,48,24,15,14,9,0,3,0,6,42,32,15,1,8,1,7,66,851,206,321
2023-894,Bogota,Clay,32,I,20230403,293,214461,,,Tamara Zidansek,R,168,SLO,25.2,214405,,,Mirjam Bjorklund,U,,SWE,24.6,7-6(3) 7-6(3),3,R16,134,1,5,97,72,41,11,12,10,15,3,0,89,53,29,18,12,5,10,110,595,133,506
2023-894,Bogota,Clay,32,I,20230403,292,220548,,,Peyton Stearns,R,,USA,21.4,220589,,,Elina Avanesyan,R,,ARM,20.5,6-4 6-1,3,R16,89,2,6,76,53,34,7,8,10,13,4,4,62,32,17,10,9,9,16,116,563,150,440
2023-894,Bogota,Clay,32,I,20230403,291,215872,4,,Kamilla Rakhimova,R,,RUS,21.5,202446,,WC,Eugenie Bouchard,R,178,CAN,29.1,6-0 6-7(7) 6-4,3,R16,140,1,3,83,46,34,24,14,2,3,3,4,102,57,35,21,14,2,7,90,712,327,184
2023-894,Bogota,Clay,32,I,20230403,290,204427,7,,Sara Sorribes Tormo,R,176,ESP,26.4,215306,,WC,Emiliana Arango,R,,COL,22.3,6-4 6-3,3,R16,107,1,5,60,35,24,10,10,4,8,0,4,61,44,19,7,9,4,10,106,607,242,274
2023-894,Bogota,Clay,32,I,20230403,289,206007,6,,Laura Pigossi,R,164,BRA,28.6,210337,,Q,Natalija Stevanovic,R,,SRB,28.6,7-5 5-7 6-4,3,R16,196,1,2,109,75,46,20,17,4,8,1,4,113,83,53,12,17,6,11,101,662,224,294
2023-894,Bogota,Clay,32,I,20230403,288,215936,,,Francesca Jones,R,,GBR,22.5,203475,,,Carol Zhao,R,165,CAN,27.7,6-2 6-1,3,R16,71,2,10,42,24,17,7,8,1,4,2,11,52,32,14,3,7,3,10,817,26,174,377
2023-894,Bogota,Clay,32,I,20230403,287,215572,,Q,Nuria Brancaccio,R,,ITA,22.7,221257,,Q,Sinja Kraus,R,,AUT,20.9,6-2 6-2,3,R16,57,3,3,47,36,23,4,8,1,3,1,2,50,22,11,9,8,10,16,206,321,168,391
2023-894,Bogota,Clay,32,I,20230403,286,213583,2,,Tatjana Maria,R,172,GER,35.6,206430,,Q,Carolina Alves,U,,BRA,26.9,6-2 6-4,3,R16,102,4,1,61,32,20,20,9,4,5,2,5,69,37,20,15,9,8,12,66,851,239,275
2023-894,Bogota,Clay,32,I,20230403,285,214405,,,Mirjam Bjorklund,U,,SWE,24.6,210722,1,,Elise Mertens,R,179,BEL,27.3,6-1 4-6 7-6(3),3,R32,163,5,7,113,67,48,18,15,4,8,4,19,88,44,28,19,14,3,8,133,506,29,1354
2023-894,Bogota,Clay,32,I,20230403,284,214461,,,Tamara Zidansek,R,168,SLO,25.2,202436,,,Reka Luca Jani,R,161,HUN,31.6,6-0 6-1,3,R32,60,0,1,45,35,24,5,6,4,4,1,4,41,28,10,4,7,3,9,110,595,130,515
2023-894,Bogota,Clay,32,I,20230403,283,220548,,,Peyton Stearns,R,,USA,21.4,215798,,Q,Rosa Vicens Mas,U,,ESP,22.7,6-3 6-1,3,R32,70,1,2,50,32,23,12,8,2,2,0,2,43,28,15,8,8,4,8,116,563,177,375
2023-894,Bogota,Clay,32,I,20230403,282,220589,,,Elina Avanesyan,R,,ARM,20.5,201506,5,,Sara Errani,R,164,ITA,35.9,6-1 6-0,3,R32,49,2,1,41,25,22,9,7,2,2,0,1,37,31,12,0,6,3,8,150,440,78,765
2023-894,Bogota,Clay,32,I,20230403,281,215872,4,,Kamilla Rakhimova,R,,RUS,21.5,213779,,,Raluka Serban,R,,CYP,25.7,7-6(3) 6-3,3,R32,124,3,4,76,39,27,16,10,6,9,1,8,82,53,31,8,11,7,12,90,712,155,427
2023-894,Bogota,Clay,32,I,20230403,280,202446,,WC,Eugenie Bouchard,R,178,CAN,29.1,213837,,,Ylena In Albon,R,,SUI,24.0,6-3 6-2,3,R32,77,2,1,54,32,22,10,8,5,7,0,4,52,30,15,8,9,4,10,327,184,137,486
2023-894,Bogota,Clay,32,I,20230403,279,215306,,WC,Emiliana Arango,R,,COL,22.3,211552,,Q,Harmony Tan,R,,FRA,25.5,7-5 3-1 RET,3,R32,82,1,0,44,36,28,4,8,4,5,3,3,63,29,16,18,9,4,7,242,274,216,308
2023-894,Bogota,Clay,32,I,20230403,278,204427,7,,Sara Sorribes Tormo,R,176,ESP,26.4,211901,,,Aliona Bolsova,R,172,MDA,25.4,6-0 6-4,3,R32,87,0,8,49,29,24,10,8,2,2,1,5,52,36,21,5,8,1,5,106,607,147,446
