tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-822,s Hertogenbosch,Grass,32,I,20230612,286,214643,2,,Liudmila Samsonova,R,180,RUS,24.5,221236,,,Polina Kudermetova,R,,RUS,20.0,6-4 6-1,3,R16,84,1,4,53,27,22,12,8,1,2,6,10,54,28,20,7,9,1,6,15,2296,141,486
2023-822,s Hertogenbosch,Grass,32,I,20230612,285,206368,1,,Veronika Kudermetova,R,175,RUS,26.1,201590,,,Alison Riske Amritraj,R,173,USA,32.9,6-3 3-0 RET,3,R32,52,5,3,30,18,16,6,6,0,1,0,2,37,24,12,5,6,7,11,14,2520,137,502
2023-822,s Hertogenbosch,Grass,32,I,20230612,284,203475,,Q,Carol Zhao,R,165,CAN,27.9,204434,,,Ysaline Bonaventure,L,178,BEL,28.7,7-6(3) 7-6(4),3,R32,133,6,10,109,77,56,9,12,12,15,5,11,95,55,36,18,12,9,12,163,413,92,716
2023-822,s Hertogenbosch,Grass,32,I,20230612,283,232447,,WC,Celine Naef,R,,SUI,17.9,200748,,WC,Venus Williams,R,185,USA,42.9,3-6 7-6(3) 6-2,3,R32,138,5,3,88,55,38,19,14,3,6,4,3,95,59,39,19,15,6,10,202,355,696,43
2023-822,s Hertogenbosch,Grass,32,I,20230612,282,216083,8,,Caty Mcnally,R,,USA,21.5,220465,,,Katie Volynets,R,,USA,21.4,6-2 6-1,3,R32,65,3,0,40,32,24,5,7,0,0,0,5,50,33,15,8,8,1,6,62,901,106,630
2023-822,s Hertogenbosch,Grass,32,I,20230612,281,201458,3,,Victoria Azarenka,R,180,BLR,33.8,210337,,Q,Natalija Stevanovic,R,,SRB,28.8,7-6(5) 6-3,3,R32,120,4,2,80,62,42,11,11,6,7,1,6,69,41,25,14,10,2,4,19,1967,231,302
2023-822,s Hertogenbosch,Grass,32,I,20230612,280,221909,,,Ashlyn Krueger,R,185,USA,19.0,202490,,,Rebecca Peterson,R,173,SWE,27.8,6-1 6-2,3,R32,49,4,2,37,24,23,9,8,0,0,0,5,38,25,14,5,7,2,6,152,445,70,814
2023-822,s Hertogenbosch,Grass,32,I,20230612,279,214149,,,Viktoria Hruncakova,R,,SVK,25.0,214826,,Q,Susan Bandecchi,R,,SUI,24.9,6-4 6-2,3,R32,97,8,5,70,46,34,9,9,2,3,1,3,76,43,27,13,9,7,11,144,477,388,139
2023-822,s Hertogenbosch,Grass,32,I,20230612,278,215370,6,,Bianca Andreescu,R,170,CAN,22.9,220309,,Q,Zeynep Sonmez,R,,TUR,21.1,6-4 6-4,3,R32,84,1,3,72,53,32,11,10,8,10,0,3,52,32,18,10,10,1,5,37,1202,217,336
2023-822,s Hertogenbosch,Grass,32,I,20230612,277,203500,,LL,Sachia Vickery,R,162,USA,28.0,211880,,LL,Priscilla Hon,R,171,AUS,25.0,6-3 6-0,3,R32,51,4,1,43,31,24,8,8,0,0,2,4,46,29,15,6,7,4,8,179,387,176,391
2023-822,s Hertogenbosch,Grass,32,I,20230612,276,211765,,Q,Emina Bektas,R,,USA,30.2,213646,,,Dalma Galfi,R,178,HUN,24.8,7-5 7-6(1),3,R32,105,4,4,78,53,41,11,12,4,7,7,3,85,54,30,17,12,6,10,186,380,98,674
2023-822,s Hertogenbosch,Grass,32,I,20230612,275,214040,,,Kimberly Birrell,R,170,AUS,25.1,204246,,WC,Lesley Pattinama Kerkhove,R,172,NED,31.6,6-1 6-4,3,R32,87,5,2,69,38,29,16,9,2,2,2,2,62,44,23,10,8,4,7,117,604,203,353
2023-822,s Hertogenbosch,Grass,32,I,20230612,274,206420,4,,Ekaterina Alexandrova,R,175,RUS,28.5,201516,,,Evgeniya Rodina,R,170,RUS,34.3,6-3 6-4,3,R32,82,7,5,63,35,28,14,10,4,5,1,4,80,58,33,10,9,8,11,26,1535,327,182
2023-822,s Hertogenbosch,Grass,32,I,20230612,273,205925,7,,Aliaksandra Sasnovich,R,174,BLR,29.2,214593,,,Lucrezia Stefanini,R,,ITA,25.0,6-0 6-3,3,R32,73,0,5,48,32,22,8,7,2,3,0,3,58,33,15,8,8,6,12,71,804,111,620
2023-822,s Hertogenbosch,Grass,32,I,20230612,272,213889,,,Greet Minnen,R,,BEL,25.8,211316,,,Jessika Ponchet,R,,FRA,26.7,7-5 4-6 6-2,3,R32,146,5,5,98,66,43,12,15,11,16,2,4,125,69,43,21,15,16,23,120,589,127,556
2023-822,s Hertogenbosch,Grass,32,I,20230612,271,221236,,,Polina Kudermetova,R,,RUS,20.0,206294,,,Yue Yuan,R,184,CHN,24.7,6-4 6-3,3,R32,95,3,0,54,34,23,10,9,5,7,5,5,71,45,24,10,10,3,8,141,486,109,621
2023-822,s Hertogenbosch,Grass,32,I,20230612,270,214643,2,,Liudmila Samsonova,R,180,RUS,24.5,214247,,Q,Lena Rueffer,R,,GER,24.8,7-5 6-7(5) 7-6(3),3,R32,220,11,10,147,71,54,40,18,12,14,1,2,118,85,59,17,18,6,9,15,2296,348,166
2023-2012,Berlin,Grass,32,P,20230619,300,201520,7,,Petra Kvitova,L,183,CZE,33.2,202499,,,Donna Vekic,R,179,CRO,26.9,6-2 7-6(6),3,F,101,8,5,73,49,36,12,10,4,5,7,3,59,42,32,5,10,1,4,9,3101,23,1725
2023-2012,Berlin,Grass,32,P,20230619,299,201520,7,,Petra Kvitova,L,183,CZE,33.2,206420,,,Ekaterina Alexandrova,R,175,RUS,28.5,6-3 6-4,3,SF,79,4,4,63,35,27,17,10,0,0,0,2,55,34,25,12,9,4,6,9,3101,22,1760
2023-2012,Berlin,Grass,32,P,20230619,298,202499,,,Donna Vekic,R,179,CRO,26.9,206289,6,,Maria Sakkari,R,172,GRE,27.9,6-4 7-6(8),3,SF,136,5,6,92,52,36,17,11,8,11,5,2,94,60,38,15,11,7,11,23,1725,8,3117
2023-2012,Berlin,Grass,32,P,20230619,297,206420,,,Ekaterina Alexandrova,R,175,RUS,28.5,206368,,WC,Veronika Kudermetova,R,175,RUS,26.1,W/O,3,QF,0,,,,,,,,,,,,,,,,,,,22,1760,13,2600
2023-2012,Berlin,Grass,32,P,20230619,296,201520,7,,Petra Kvitova,L,183,CZE,33.2,201614,3,,Caroline Garcia,R,177,FRA,29.6,6-4 7-6(3),3,QF,114,13,6,65,42,35,12,11,0,1,9,6,105,67,43,18,11,11,13,9,3101,4,5025
